date,n_articles,mean_score,share_pos_minus_neg,conf_weighted,ci_lo,ci_hi,confidence
2026-07-03,2,0.5549556803889573,1.0,0.628022551278736,0.1605752371251583,0.9493361236527562,0.694608822799601
2026-07-04,2,-0.0018097999272868037,-1.0,-0.0018173951803080227,-0.0024258808698505163,-0.0011937189847230911,0.9556257273050066
2026-07-05,2,-0.1923653925769031,0.0,-0.09955010123099485,-0.3858449421823025,0.0011141570284962654,0.6466713201529599
2026-07-06,11,-0.08424811336127194,-0.09090909090909088,-0.06770231900373308,-0.48959287965455467,0.3271894326983637,0.7185263602156197
2026-07-07,3,-0.4185608755215071,-0.3333333333333333,-0.32334842680875275,-0.8236146308481693,0.000746110628824681,0.601462903714719
2026-07-08,5,0.27192465362022633,0.19999999999999996,0.3895539516217928,-0.13772573903866706,0.8279659334836433,0.7131848509840972
2026-07-09,3,-0.8097819946706295,-1.0,-0.8523015250010807,-0.9580815155059099,-0.6481442246586084,0.6071472792419352
2026-07-10,49,0.0727784427890212,0.22448979591836737,0.0952435424367569,-0.06384404291281648,0.26780553056416617,0.6358819722206259
2026-07-11,11,-0.0759428861307573,0.4545454545454546,-0.14385271047965117,-0.42878423940580085,0.08857289401754034,0.6281027056254939
2026-07-12,15,-0.09763408696744591,-0.06666666666666665,-0.15020754882983672,-0.49235336730441526,0.21890397153521063,0.6150131308863026
2026-07-13,40,-0.11429943468829151,0.0,-0.18430377374827125,-0.41101973751822257,0.05068685807764857,0.6457884982748496
2026-07-14,59,0.16605035586468087,0.28813559322033894,0.22244022949088613,0.026223401585355067,0.41577224739895363,0.5835259965547465
2026-07-15,49,0.2500492124200551,0.510204081632653,0.28178362612795654,0.10736201455052458,0.4561954599251023,0.7062692020391503
2026-07-16,47,-0.09442889005654155,-0.021276595744680826,-0.10102795426595927,-0.3256860076627062,0.1234490815130832,0.6683618908295277
2026-07-17,37,0.0515762020368129,0.08108108108108109,0.05806476374854187,-0.17022256133757854,0.2871835803019806,0.6795396364692747
2026-07-18,17,-0.16314445442848785,-0.17647058823529416,-0.09570348698252706,-0.4556613138332447,0.2791849320628558,0.5977595362301447
2026-07-19,14,0.09746083408078578,0.14285714285714285,0.048764196248832506,-0.3654471858988031,0.45604920737581184,0.6140372529966964
2026-07-20,51,0.06773018191897255,0.2549019607843137,0.13608663249012182,-0.07317237959518967,0.3486106678755861,0.6352516913491735
2026-07-21,20,0.05945823994698003,-0.10000000000000003,0.11916617037086906,-0.2775423027302109,0.5023929377301066,0.6143010883924718
2026-07-22,24,0.24508304457898097,0.3333333333333333,0.2736550461509439,0.0019775264223934326,0.5366048333572934,0.702599704969947
2026-07-23,41,0.016843299428284986,0.024390243902439046,0.02974004786166807,-0.2306919465897069,0.3010278366098841,0.5621485679464728
2026-07-24,49,-0.003933265054484411,0.22448979591836737,-0.03401494781679813,-0.2579488457998544,0.20710077201556723,0.5997312909220084
2026-07-25,18,0.14278276063527706,0.11111111111111116,0.15726916589558357,-0.06589481049695131,0.4018742013482816,0.5471408846770528
2026-07-26,23,0.1621559150580256,0.3913043478260869,0.2114042137988855,-0.0742363509714621,0.48864429095398326,0.6557287783912055
2026-07-27,50,0.0008948388881981372,0.32,-0.03652071583914132,-0.24078518842022442,0.15654501470946117,0.634025887255494
2026-07-28,33,0.023512608098275396,0.030303030303030276,0.04402838599633339,-0.24001276643408678,0.3117158275510277,0.6096044443206523
2026-07-29,56,-0.0004618094192535084,0.14285714285714285,0.02892231004266639,-0.12011292134495367,0.1841767160096594,0.6924132097489866
2026-07-30,52,0.09540171679299629,0.1923076923076923,0.19120114575507244,0.013890896306615596,0.3512214542615077,0.6404928719754786
2026-07-31,53,0.09510354959034747,0.3962264150943396,0.06897885708590817,-0.09074201092393802,0.23144464180016602,0.632269484651402
2026-08-01,26,0.031002865040835995,0.0,0.10228155560223053,-0.19947756364655034,0.40840171023108196,0.6733623215123841
2026-08-02,17,0.139954977634582,0.29411764705882354,0.1822603280454753,0.006126018527473254,0.40396333212295144,0.6033739391569009
2026-08-03,9,-0.040695377444434494,0.3333333333333333,-0.12182677294167187,-0.46335820976197484,0.15099790589880877,0.5442702394661049
2026-08-04,10,0.15650141111691482,0.8,0.22526878654253343,-0.055957221482828466,0.5175186238186776,0.6566771320506491
2026-08-05,17,0.14670345952446737,0.29411764705882354,0.17683038911800328,-0.10687632220417886,0.4503887790939684,0.6548188278044326
2026-08-06,13,-0.07872161415154831,0.07692307692307687,-0.07771348916195321,-0.2736037795022456,0.08048343532605388,0.6179304274720299
2026-08-07,19,-0.13759439078306682,-0.05263157894736842,-0.19252672794553904,-0.5559803358805812,0.23390938749530493,0.5189627809195658
2026-08-08,2,-0.012395218247547746,0.0,-0.05906327222499055,-0.9815015187487006,0.9567110822536051,0.881948949033861
2026-08-09,4,-0.11832918669097126,0.0,-0.22115838845188798,-0.9052421582468528,0.6190484398513678,0.5470314582942597
2026-08-10,6,0.13679767448532706,0.3333333333333333,0.14187365900193777,-0.3670150165530348,0.6118741324308635,0.7112585017401153
2026-08-11,6,-0.3557559682521969,0.0,-0.4747363741799826,-0.8684655415081272,-0.02641829196785776,0.5812774346660363
2026-08-12,8,0.22332907745294506,0.5,0.3520361781467906,-0.1420745830179497,0.7303704655923062,0.5460752444963004
2026-08-13,7,0.3520004248213289,0.14285714285714285,0.45195351507020953,0.020245669304318068,0.770018785102544,0.42524710116824077
2026-08-14,9,-0.1431593832029547,-0.3333333333333333,-0.07400652194741907,-0.6511561830573138,0.46694087551168945,0.7110250822995807
2026-08-15,4,0.12124269432388246,-0.5,0.16444027300559855,-0.20498131219765142,0.6624909390653404,0.5798271789043555
2026-08-16,3,-0.6570174776716158,-0.3333333333333333,-0.6602050159257724,-0.989658310310915,0.008248709025792778,0.9498067258109432
2026-08-17,9,-0.055052892615397774,-0.11111111111111116,0.05238725945315206,-0.47204444520611005,0.5267870248273028,0.5718021654523713
2026-08-18,3,0.31776530815598863,0.3333333333333333,0.34724779616454243,-0.0006834289524704219,0.9497744692489505,0.745588785535669
2026-08-19,10,0.01740285810083151,0.0,0.07657393076324778,-0.22943322161847082,0.39351536987718316,0.6107170603400307
2026-08-20,9,-0.15667001264066333,-0.3333333333333333,-0.08263611034119853,-0.5165408198372037,0.341901953161225,0.5300357281349882
2026-08-21,6,0.014471177128143609,0.0,0.09037269793470859,-0.6663864565588388,0.7695974993483267,0.5739715087844309
2026-08-22,3,0.2032873504795134,-0.3333333333333333,0.3845350185386172,-0.2760562151670456,0.9095101468265057,0.5580983885610067
