month,conf_weighted_cur,n_articles_cur,conf_weighted_live,n_articles_live,diff
2000-01-01,0.12956019615955822,154,-0.0141117136324677,26.0,-0.1436719097920259
2000-02-01,0.15305987736193077,185,0.015995538495732143,52.0,-0.13706433886619862
2000-03-01,0.09021614083172498,180,0.2605101171686967,32.0,0.17029397633697174
2000-04-01,-0.0645863714135389,150,-0.2173126591165545,19.0,-0.1527262877030156
2000-05-01,-0.03016652268229568,219,0.07060789631636835,56.0,0.10077441899866403
2000-06-01,0.04927864364392798,211,0.22813934708393607,46.0,0.1788607034400081
2000-07-01,0.025303565871634594,180,0.04923434758770125,30.0,0.02393078171606666
2000-08-01,0.18273577356502188,172,0.07915496447648318,25.0,-0.1035808090885387
2000-09-01,-0.06568056766237948,108,-0.5541637685094342,12.0,-0.48848320084705465
2000-10-01,-0.07749131664644206,152,-0.12279045648085196,20.0,-0.045299139834409904
2000-11-01,-0.011374352402500763,107,-0.22224246834826564,9.0,-0.21086811594576488
2000-12-01,-0.029052109689660002,189,-0.1835921462471412,46.0,-0.15454003655748122
2001-01-01,0.04127542485504463,266,0.19954944664661714,59.0,0.15827402179157252
2001-02-01,-0.025021130087529514,186,-0.030884339581878435,32.0,-0.005863209494348921
2001-03-01,-0.08897609061192538,217,-0.06221074280961396,42.0,0.02676534780231142
2001-04-01,0.0749733816306383,172,0.304765073328228,24.0,0.2297916916975897
2001-05-01,0.060623382710265065,171,0.15933408453166867,24.0,0.0987107018214036
2001-06-01,0.018592344849679043,164,0.02306654709613542,33.0,0.004474202246456376
2001-07-01,0.03165437788897592,142,-0.025034867371318745,16.0,-0.05668924526029466
2001-08-01,-0.08212106193496597,175,0.13780852917690448,24.0,0.21992959111187044
2001-09-01,-0.1207212303352625,150,-0.2319571180714232,31.0,-0.1112358877361607
2001-10-01,-0.04462255890093798,160,0.09763604400753437,20.0,0.14225860290847234
2001-11-01,0.06577733551996724,147,0.06340855912685212,18.0,-0.0023687763931151268
2001-12-01,0.030269582075968034,114,0.12882314124568994,22.0,0.09855355916972192
2002-01-01,-0.05842455245540706,164,-0.03770817887167327,36.0,0.020716373583733787
2002-02-01,-0.06699750513785417,100,0.15777516069575995,17.0,0.2247726658336141
2002-03-01,0.019071628198133975,151,-0.10419549418287574,31.0,-0.12326712238100972
2002-04-01,-0.014343874170349574,111,-0.08895267481100133,24.0,-0.07460880064065176
2002-05-01,-0.006871118707404464,85,-0.13022974169427862,21.0,-0.12335862298687415
2002-06-01,-0.09628897961845104,78,0.04663557370825153,17.0,0.14292455332670256
2002-07-01,-0.02138216744828089,91,-0.12966848559530714,19.0,-0.10828631814702624
2002-08-01,-0.019301134322111908,112,0.2053964194101795,24.0,0.22469755373229142
2002-09-01,-0.05279110217874463,96,-0.11721411908834618,25.0,-0.06442301690960156
2002-10-01,-0.1352909176641278,82,-0.2743729374650747,16.0,-0.1390820198009469
2002-11-01,-0.06816534412886341,123,0.06035260726155296,38.0,0.12851795139041639
2002-12-01,-0.06450698908524849,85,-0.23598723352906045,15.0,-0.17148024444381196
2003-01-01,-0.17884634980722075,82,-0.2669716811224101,13.0,-0.08812533131518935
2003-02-01,-0.046610390384453776,68,0.24607041261568693,13.0,0.2926808030001407
2003-03-01,-0.2512170780017852,102,-0.21631726941037172,17.0,0.034899808591413506
