date,statement,presser,gap,n_sentences
2011-04-27,0.2425108389583057,0.07238778942957416,-0.17012304952873153,322
2011-06-22,0.17060990036112073,-0.005361592198321494,-0.17597149255944222,254
2011-11-02,0.34557410968012625,-0.016436238826883748,-0.36201034850700997,243
2012-01-25,0.17161074805555337,0.05523817938888132,-0.11637256866667206,265
2012-04-25,0.2704215746144631,0.08645116302803604,-0.18397041158642705,231
2012-06-20,0.2734464129854353,-0.03344450212331507,-0.3068909151087504,224
2012-09-13,0.20780633578396954,0.07895875880792522,-0.12884757697604432,262
2012-12-12,0.13559916583821802,-0.0020645253907200577,-0.13766369122893807,357
2013-03-20,0.3715415806546431,-0.010016783239469982,-0.3815583638941131,316
2013-06-19,0.41418639860873896,0.07847913186843884,-0.3357072667403001,291
2013-09-18,0.33970115076322055,0.04223526292364433,-0.2974658878395762,282
2013-12-18,0.35961989972320046,0.060950446559723294,-0.29866945316347715,361
2014-03-19,0.24393312837490858,-0.028843520830505964,-0.27277664920541456,233
2014-06-18,0.3498534293206147,0.041628920427883666,-0.308224508892731,183
2014-09-17,0.3039001845374348,0.004425344588185104,-0.29947483994924967,212
2014-12-17,0.44927698593500875,0.11290836296937806,-0.3363686229656307,235
2015-06-17,0.5201193062976219,0.15471305785446657,-0.3654062484431554,209
2015-09-17,0.4019755995988563,0.0303569254619337,-0.3716186741369226,239
2015-12-16,0.48280696631356923,0.13130475009313014,-0.3515022162204391,273
2016-03-16,0.349376401270505,0.08693284448956057,-0.26244355678094444,239
2016-06-15,0.3690699352893663,0.012610825913370777,-0.35645910937599556,218
2016-09-21,0.48461730865706615,0.11737552163530836,-0.3672417870217578,263
2016-12-14,0.43671142640145827,0.07628189496700741,-0.3604295314344509,212
2017-03-15,0.5150341174315783,0.1656807637939389,-0.3493533536376394,262
2017-06-14,0.4586152680906975,0.10738884287445245,-0.3512264252162451,238
2017-09-20,0.3540714068062957,0.07070489854930778,-0.2833665082569879,237
2017-12-13,0.4687342341990917,0.1175704930315213,-0.35116374116757043,271
2018-03-21,0.5201813516668928,0.06944363786418135,-0.4507377138027115,263
2018-06-13,0.5873611324711854,0.09857148853924265,-0.48878964393194274,374
2018-09-26,0.5442672607383867,0.04322596558909375,-0.501041295149293,339
2018-12-19,0.4547736253315761,0.0855767108947383,-0.36919691443683783,287
2019-01-30,0.431990878716762,0.009247921346674634,-0.4227429573700874,297
2019-03-20,0.0606638874915673,0.06625803729101906,0.005594149799451761,277
2019-05-01,0.24916971021768894,0.12414589848371202,-0.12502381173397692,259
2019-06-19,0.1855491922607472,0.0001791006868782631,-0.18537009157386894,277
2019-07-31,0.17109302935017984,0.06533859587297292,-0.10575443347720692,296
2019-09-18,0.09455490124734563,0.05034991728148692,-0.04420498396585871,321
2019-10-30,0.09394712629831757,0.11356908418564207,0.0196219578873245,290
2019-12-11,0.2728119481855546,0.07464625851765376,-0.19816568966790082,345
2020-01-29,0.2731638694648067,0.07310965251068974,-0.20005421695411696,350
2020-03-03,0.023904115464635552,0.07724750804726754,0.05334339258263199,92
2020-03-15,0.11964541446166312,0.05854492680292537,-0.06110048765873775,261
2020-04-29,-0.1615126655869156,-0.029406072286184068,0.13210659330073155,329
2020-06-10,-0.013818954524996834,0.02905271456465509,0.042871669089651926,400
2020-07-29,-0.012649203896209953,0.012231273025615552,0.024880476921825503,425
2020-09-16,-0.06277552412085347,0.07183443478880575,0.1346099589096592,433
2020-11-05,-0.06637491580907118,0.0837919393043501,0.15016685511342126,327
2020-12-16,-0.06213150774289289,0.06341741802395784,0.12554892576685073,441
2021-01-27,-0.058661436080837556,0.03963872821388932,0.09830016429472688,403
2021-03-17,-0.0020311046268298165,0.05786982215403622,0.05990092678086604,468
2021-04-28,0.1104587861048086,0.032791908951356315,-0.07766687715345227,400
2021-06-16,0.2321516816148854,0.08787578713705003,-0.14427589447783534,432
2021-07-28,0.2668913927376043,0.022637065961960412,-0.2442543267756439,413
2021-09-22,0.21632491919429012,0.05110262563144914,-0.16522229356284096,364
2021-11-03,0.11399930308154654,0.025294419817682087,-0.08870488326386446,368
2021-12-15,0.25028772345646694,0.0605052775307596,-0.18978244592570734,425
2022-01-26,0.18587088733123872,0.02975905098241203,-0.1561118363488267,412
2022-03-16,0.0398525697524422,0.13670865728259565,0.09685608753015346,390
2022-05-04,-0.030624746871904755,0.03394145638510443,0.06456620325700918,363
2022-06-15,-0.05468409975759045,0.05662555095764714,0.11130965071523759,390
2022-07-27,-0.15329400337928428,-0.008075830777367858,0.1452181726019164,429
2022-09-21,0.024264250441895962,0.05601809301862923,0.03175384257673326,264
2022-11-02,0.025261058184645482,0.004427859300394772,-0.02083319888425071,335
2022-12-14,0.028330059944189828,0.026296721937699306,-0.0020333380064905225,364
2023-02-01,0.0819373890793084,0.03666920206258619,-0.045268187016722215,349
2023-03-22,0.10018546400000165,0.08070105473410827,-0.019484409265893385,265
2023-05-03,0.1255308031020607,0.011318156273325938,-0.11421264682873475,391
2023-06-14,0.12537833607605803,0.032880364578761305,-0.09249797149729672,358
2023-07-26,0.12477865189764317,0.06810461504044607,-0.0566740368571971,328
2023-09-20,0.06465631556441605,0.08763651429894825,0.022980198734532206,377
2023-11-01,0.06604469683819834,0.05901077987034665,-0.007033916967851696,373
2023-12-13,-0.07586182530269311,0.06530064564816031,0.14116247095085344,310
2024-01-31,0.11814298474387018,0.087837589526168,-0.030305395217702175,398
2024-03-20,0.18154009364046858,0.06784643450322944,-0.11369365913723914,306
2024-05-01,0.1385931130582214,0.07430365377796867,-0.06428945928025272,368
2024-06-12,0.23495606981327788,0.13404050362992118,-0.1009155661833567,386
2024-07-31,0.16866707842160594,0.09620754868383466,-0.07245952973777128,376
2024-09-18,0.04050507972354547,0.10062907119416505,0.06012399147061957,359
2024-11-07,0.06178025089632278,0.11177876413707045,0.04999851324074767,330
2024-12-18,0.061788600415956574,0.09313364104909329,0.031345040633136714,401
2025-01-29,0.11103709916211077,0.10377068529617883,-0.007266413865931937,345
2025-03-19,0.0771028658145753,0.04655808454824422,-0.030544781266331082,389
2025-05-07,0.09266150519940343,0.009688092271681234,-0.0829734129277222,384
2025-06-18,0.0966519791689377,0.03920158152967307,-0.05745039763926463,408
2025-07-30,0.08670717009607189,0.03638364715845974,-0.05032352293761214,347
2025-09-17,-0.07667214622361981,-0.020475120542363265,0.05619702568125655,387
2025-10-29,-0.04829606022014103,0.00268124007375566,0.050977300293896695,385
2025-12-10,-0.03821154115238239,0.01692935513017326,0.055140896282555654,421
2026-01-28,0.07583701481673376,0.037995266805889286,-0.03784174801084447,333
2026-03-18,-0.0212,0.0292,0.0504,333
2026-04-29,0.0437,0.0051,-0.0386,436
2026-06-17,0.49093684951141625,0.05982737563577151,-0.43110947387564474,255
2026-07-29,0.397,0.0364,-0.3606,33
