date,n_articles,mean_score,share_pos_minus_neg,conf_weighted,ci_lo,ci_hi,confidence
2021-01-01,1,0.0152698105666786,1.0,0.0152698105666786,,,0.9061383305972724
2021-01-04,3,-0.31124507697919995,-1.0,-0.29386424746609985,-0.9110424667596816,-0.0109170507639646,0.7668307871394546
2021-01-05,1,-0.2266036048531532,-1.0,-0.2266036048531532,,,0.13585432227214778
2021-01-06,1,0.9833599757403136,1.0,0.9833599757403136,,,0.9253133534130479
2021-01-10,2,-0.03608133504167195,0.0,-0.026309878889240346,-0.0797758735716342,0.0076132034882903,0.7679313233167775
2021-01-12,2,-0.5702287247404456,-1.0,-0.6790969249707347,-0.9011178500950336,-0.2393395993858575,0.5531962224908256
2021-01-13,4,0.22311443620128557,0.5,0.2539945365514811,-0.05508269838774392,0.7359870965019306,0.6152721288897391
2021-01-14,6,0.267450390024654,0.0,0.44988096555624557,-0.08043819135904594,0.8509772875224064,0.6532080131435588
2021-01-15,5,-0.2604344356805086,-0.19999999999999996,-0.3590902801286606,-0.8484237251775905,0.4019604237264186,0.44197002056826085
2021-01-19,4,0.3938715716212755,1.0,0.39409036555579624,0.04447434710433414,0.8394119553132017,0.6657729897853424
2021-01-20,7,0.2777963920962065,0.7142857142857142,0.2600822952301293,0.011901782242019852,0.5609734398399328,0.8497865239936309
2021-01-21,4,0.05951128387823695,1.0,0.05051945987849472,0.013464502075098948,0.09362453492291847,0.5746676008400516
2021-01-22,4,0.0411189379810821,0.0,0.1393822949398108,-0.5658138657575044,0.7663129677188606,0.806112263026906
2021-01-23,1,-0.0017996323294937,-1.0,-0.0017996323294937,,,0.9121779110680474
2021-01-24,3,0.02221847511827944,-0.3333333333333333,0.5854823727370777,-0.4877223968505858,0.9395546745508908,0.3677467437381083
2021-01-25,4,-0.13847008108859882,-0.5,0.04615924604930703,-0.8059230879500443,0.7971436063606565,0.6152095369694106
2021-01-26,5,0.28429858095478266,0.6000000000000001,0.37583336716725263,-0.05734533288393291,0.8249971959895628,0.7120641167699273
2021-01-27,17,-0.19939313940738113,0.05882352941176472,-0.24052788820664325,-0.6127410541976259,0.1423930629939398,0.6673831424459121
2021-01-28,20,-0.2821630255522905,-0.10000000000000003,-0.3578533409158286,-0.6663567967481343,-0.005797791203919386,0.8058640664835253
2021-01-29,2,0.09218806098215275,1.0,0.07517863723912534,0.0338188163004815,0.150557305663824,0.6300232955584011
2021-01-30,2,0.025338486360851648,0.0,0.0228492488889135,-0.0005191249074414,0.0511960976291447,0.8939935091032972
2021-02-01,1,0.9864288361277432,1.0,0.9864288361277432,,,0.9386896130587455
2021-02-02,4,0.19195504981325937,0.5,0.18010089075241692,-0.05808700359767721,0.6034035785307864,0.6878714595998123
2021-02-03,6,-0.10477265943579067,0.0,-0.03783625067620938,-0.14663863612187505,0.002455734790730829,0.8191816476176568
2021-02-04,4,0.06878837375552391,0.5,0.013724248512833067,-0.053104373066044,0.14771162867677964,0.6703721142472665
2021-02-06,1,-0.688159354031086,-1.0,-0.688159354031086,,,0.36987276198031793
2021-02-07,2,0.0044933070312254,0.0,0.004409156611083985,-0.001054358202964,0.0100409722654148,0.9437415541136698
2021-02-08,2,0.1735169705934822,0.0,0.474848373787657,-0.594232514500618,0.9412664556875824,0.5704682897808824
2021-02-09,1,-0.1353870183229446,-1.0,-0.1353870183229446,,,0.01654632394077571
2021-02-10,14,0.10562157889528732,0.28571428571428575,0.18884318431704747,-0.25830468547438784,0.5854328226441753,0.7111501468433007
2021-02-11,8,-0.027783655699749978,0.5,-0.022718670818763078,-0.12814123345844927,0.021903582632865463,0.5917379209047112
2021-02-13,1,-0.0007534599862992,-1.0,-0.0007534599862992,,,0.9239717509389775
2021-02-14,1,0.0013257281389087,1.0,0.0013257281389087,,,0.9788492341846194
